query_id,query_text,raw_response,pred_scent_preference,pred_context,pred_performance,pred_avoid,pred_additional_requirements,api_status,parse_status,validation_status,attempts,latency_seconds,prompt_tokens,completion_tokens,total_tokens,failure_policy
UQ0001,비가 온 뒤의 숲같은 향을 찾고 있어,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [""비가 온 뒤의 숲같은 향""]
}",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""비가 온 뒤의 숲같은 향""]",success,success,success,1,3.082763700047508,635.0,78.0,713.0,
UQ0002,시트러스 계열의 깔끔한 향의 향수가 있어?,"{
  ""scent_preference"": [""citrus""],
  ""context"": {""season"": [], ""daypart"": [], ""gender"": []},
  ""performance"": {""intensity"": """", ""longevity"": """"},
  ""avoid"": [],
  ""additional_requirements"": [""깔끔한 향""]
}","[""citrus""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""깔끔한 향""]",success,success,success,1,3.729655400151387,637.0,66.0,703.0,
UQ0003,향수 가격 적당한 거 추천해줘. 그냥 구색 갖추려고 사는 거야.,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""가격 적당한 제품"",
    ""그냥 구색 갖추려고 사는 목적""
  ]
}",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""가격 적당한 제품"",""그냥 구색 갖추려고 사는 목적""]",success,success,success,1,4.16904509998858,643.0,90.0,733.0,
UQ0004,"여성스러운 향을 사고 싶은데, 너무 달콤한 건 싫어. 그런 향기가 있을까?","{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": [""female""]
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [""too sweet""],
  ""additional_requirements"": [""여성스러운 향"", ""너무 달콤한 건 싫어""]
}",[],"{""season"":[],""daypart"":[],""gender"":[""female""]}","{""intensity"":"""",""longevity"":""""}","[""too sweet""]","[""여성스러운 향"",""너무 달콤한 건 싫어""]",success,success,success,1,2.8290550999809057,647.0,90.0,737.0,
UQ0005,난 바닐라 향기가 좋은데. 너무 단 건 싫어.,"{
  ""scent_preference"": [""Vanilla""],
  ""context"": {""season"": [], ""daypart"": [], ""gender"": []},
  ""performance"": {""intensity"": """", ""longevity"": """"},
  ""avoid"": [""Too sweet""],
  ""additional_requirements"": []
}","[""Vanilla""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""Too sweet""]",[],success,success,success,1,3.005738199921325,638.0,63.0,701.0,
UQ0006,바다 냄새 나는 향수가 있나? 가능함?,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""바다 냄새 나는 향수 가능 여부 문의""
  ]
}",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""바다 냄새 나는 향수 가능 여부 문의""]",success,success,success,1,1.945367000065744,635.0,83.0,718.0,
UQ0007,30대 초반 남자가 쓰기 좋은 향수 추천해줘,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": [""male""]
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [""30대 초반 남자가 쓰기 좋은 향수""]
}",[],"{""season"":[],""daypart"":[],""gender"":[""male""]}","{""intensity"":"""",""longevity"":""""}",[],"[""30대 초반 남자가 쓰기 좋은 향수""]",success,success,success,1,3.18768380000256,635.0,81.0,716.0,
UQ0008,레몬 말고. 레몬 껍질 냄새나는 향수 있음?,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [
    ""lemon""
  ],
  ""additional_requirements"": [
    ""lemon peel scent""
  ]
}",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""lemon""]","[""lemon peel scent""]",success,success,success,1,2.2009602000471205,640.0,83.0,723.0,
UQ0009,"중성적인 향수 뿌리고 싶어. 너무 여성스럽지 않되, 너무 남자 향수도 아니었으면 좋겠다.","{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": [
      ""neuter""
    ]
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""너무 여성스럽지 않되, 너무 남자 향수도 아니었으면 좋겠다""
  ]
}",[],"{""season"":[],""daypart"":[],""gender"":[""neuter""]}","{""intensity"":"""",""longevity"":""""}",[],"[""너무 여성스럽지 않되, 너무 남자 향수도 아니었으면 좋겠다""]",success,success,success,1,3.307494400069117,652.0,98.0,750.0,
UQ0010,"케이크 같으면서도, 너무 느끼하지 않고, 딱 맡았을 때 공주처럼 느껴지는 향수 그런 거 없음?","{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""케이크 같은 향"",
    ""너무 느끼하지 않은 느낌"",
    ""딱 맡았을 때 공주처럼 느껴지는 향""
  ]
}",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""케이크 같은 향"",""너무 느끼하지 않은 느낌"",""딱 맡았을 때 공주처럼 느껴지는 향""]",success,success,success,1,3.1796375000849366,652.0,102.0,754.0,
