map_identity_id,fragrantica_id,fragrantica_brand,fragrantica_name,fragrantica_year,commercial_identity_ids,commercial_identity_count,has_purchase_signal,has_hwahae_signal,best_hwahae_rank,purchase_overlap_statuses,accord_count,note_count,map_identity_conflict,best_musinsa_rank,best_oliveyoung_rank,best_lotte_rank,purchase_rrf_k20,purchase_rrf_k60,purchase_rrf_k100,purchase_rrf_without_musinsa,purchase_rrf_without_oliveyoung,purchase_rrf_without_lotte,map_ready,selection_rank,selection_status,selection_basis
fragrantica:65738,65738,Diptyque,Orphéon Eau de Parfum,2021.0,ci_a0a02b36cbab,1,False,True,2.0,NO_MATCH,8,5,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,TOP200,HWAHAE_MAP_READY_INCLUSION
fragrantica:83,83,Elizabeth Arden,Green Tea,1999.0,ci_3cf24523e3e0|ci_d3fc426a9647,2,True,True,3.0,MATCH_REVIEW,8,19,False,18.0,,,0.02631578947368421,0.01282051282051282,0.00847457627118644,0.0,0.01282051282051282,0.01282051282051282,True,2.0,TOP200,HWAHAE_MAP_READY_INCLUSION
fragrantica:74041,74041,Jo Malone London,Wood Sage & Sea Salt Cologne,2022.0,ci_c427296fb61c,1,False,True,4.0,NO_MATCH,8,4,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,True,3.0,TOP200,HWAHAE_MAP_READY_INCLUSION
fragrantica:9110,9110,Lanvin,Eclat d'Arpege,2010.0,ci_8f9c6acf1230,1,True,True,6.0,MATCH,8,10,False,110.0,9.0,,0.04217506631299735,0.020375106564364878,0.013936216688510267,0.014492753623188406,0.0058823529411764705,0.020375106564364878,True,4.0,TOP200,HWAHAE_MAP_READY_INCLUSION
fragrantica:10131,10131,Le Labo,Another 13,2010.0,ci_1af25ac959c8,1,False,True,8.0,NO_MATCH,8,11,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,True,5.0,TOP200,HWAHAE_MAP_READY_INCLUSION
fragrantica:14214,14214,Diptyque,Eau Rose,2012.0,ci_162ce4d89e5c,1,False,True,9.0,NO_MATCH,8,9,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,True,6.0,TOP200,HWAHAE_MAP_READY_INCLUSION
fragrantica:32134,32134,Aesop,Tacit,2015.0,ci_9c7b60cda438,1,False,True,11.0,NO_MATCH,8,5,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,True,7.0,TOP200,HWAHAE_MAP_READY_INCLUSION
fragrantica:20542,20542,Maison Martin Margiela,Lazy Sunday Morning,2013.0,ci_5aaf547e6734,1,True,True,12.0,MATCH,8,9,False,14.0,,,0.029411764705882353,0.013513513513513514,0.008771929824561403,0.0,0.013513513513513514,0.013513513513513514,True,8.0,TOP200,HWAHAE_MAP_READY_INCLUSION
fragrantica:6686,6686,Byredo,Blanche,2009.0,ci_17304073f859,1,False,True,14.0,NO_MATCH,8,9,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,True,9.0,TOP200,HWAHAE_MAP_READY_INCLUSION
fragrantica:223,223,Dior,Miss Dior,1947.0,ci_d26a1c904519,1,False,True,15.0,NO_MATCH,8,20,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,True,10.0,TOP200,HWAHAE_MAP_READY_INCLUSION
fragrantica:23280,23280,Dior,Miss Dior Blooming Bouquet,2014.0,ci_2084bc83573d,1,False,True,16.0,NO_MATCH,8,6,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,True,11.0,TOP200,HWAHAE_MAP_READY_INCLUSION
fragrantica:72040,72040,Diptyque,Philosykos Eau de Toilette,1996.0,ci_5bd545b067ba,1,False,True,17.0,NO_MATCH,8,3,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,True,12.0,TOP200,HWAHAE_MAP_READY_INCLUSION
fragrantica:75979,75979,Forment,Cotton Hug,2022.0,ci_eb6bab7c7c6c,1,True,True,19.0,MATCH,8,8,False,5.0,,,0.04,0.015384615384615385,0.009523809523809525,0.0,0.015384615384615385,0.015384615384615385,True,13.0,TOP200,HWAHAE_MAP_READY_INCLUSION
fragrantica:6188,6188,Kiehl's,Original Musk,2004.0,ci_da3cc8d44820,1,False,True,21.0,NO_MATCH,8,9,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,True,14.0,TOP200,HWAHAE_MAP_READY_INCLUSION
fragrantica:8441,8441,Byredo,La Tulipe,2010.0,ci_844918cb9436,1,False,True,22.0,NO_MATCH,8,7,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,True,15.0,TOP200,HWAHAE_MAP_READY_INCLUSION
fragrantica:15134,15134,Jo Malone London,Blackberry & Bay,2012.0,ci_0bb163868ef8,1,False,True,23.0,NO_MATCH,8,6,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,True,16.0,TOP200,HWAHAE_MAP_READY_INCLUSION
